anclb	2	subtheorems	255	36	179	11643	32
pm5.42	3	subtheorems	266	37	184	18651	32
ancr	2	subtheorems	196	25	127	3461	32
ancrb	2	subtheorems	257	35	179	11655	33
ancli	3	subtheorems	209	25	130	3491	32
ancri	3	subtheorems	209	25	130	3491	32
ancld	3	subtheorems	199	27	133	3467	32
ancrd	3	subtheorems	199	27	133	3467	32
anc2l	2	subtheorems	268	37	185	18957	33
anc2r	3	subtheorems	200	26	131	3473	32
anc2li	3	subtheorems	203	26	133	3471	33
anc2ri	3	subtheorems	203	26	133	3471	33
pm3.41	2	subtheorems	133	16	84	711	25
pm3.42	2	subtheorems	135	16	85	717	25
pm3.4	2	subtheorems	125	16	82	683	25
pm4.45im	4	subtheorems	219	27	141	4655	33
anim12d	4	subtheorems	267	38	183	27003	37
anim1d	3	subtheorems	270	38	183	27009	38
anim2d	3	subtheorems	270	38	183	27009	38
anim12i	4	subtheorems	244	28	150	13157	35
anim12ci	4	subtheorems	248	29	153	17281	36
anim1i	3	subtheorems	247	28	150	13161	36
anim2i	3	subtheorems	247	28	150	13161	36
anim12ii	5	subtheorems	217	30	149	8937	33
prth	3	subtheorems	274	38	185	28349	38
pm2.3	2	subtheorems	242	32	160	29465	37
pm2.41	3	subtheorems	212	26	136	3811	31
pm2.42	3	subtheorems	131	14	80	515	24
pm2.4	3	subtheorems	214	26	137	3845	31
pm2.65da	5	subtheorems	219	30	147	7279	30
pm4.44	5	subtheorems	222	28	148	5009	31
pm4.14	5	subtheorems	302	42	214	35959	33
pm3.37	2	subtheorems	304	42	215	36265	34
nan	4	subtheorems	381	50	262	124573	maximu
pm4.15	3	subtheorems	389	52	271	135989	maximu
pm4.78	6	subtheorems	391	57	282	882808	maximu
pm4.79	8	subtheorems	271	35	181	9441	32
pm4.87	6	subtheorems	252	38	182	20315	33
pm3.33	2	subtheorems	157	19	98	735	24
pm3.34	2	subtheorems	129	16	83	687	24
pm3.35	2	subtheorems	123	16	81	693	24
pm5.31	3	subtheorems	204	27	136	4141	32
imp4a	3	subtheorems	242	32	162	8213	33
imp4b	3	subtheorems	245	33	165	8883	34
imp4c	3	subtheorems	166	20	104	1713	25
imp4d	3	subtheorems	245	33	165	9069	34
imp41	3	subtheorems	125	17	84	2011	25
imp42	3	subtheorems	169	20	105	2197	26
imp43	3	subtheorems	248	33	166	9553	35
imp44	3	subtheorems	169	21	107	2383	26
imp45	3	subtheorems	248	34	168	9739	35
imp5a	3	subtheorems	176	20	108	905	26
imp5d	3	subtheorems	169	20	105	2197	25
imp5g	3	subtheorems	169	21	107	2383	26
imp55	3	subtheorems	251	34	169	10409	34
imp511	3	subtheorems	251	34	169	10595	34
expimpd	3	subtheorems	227	30	150	4293	30
exp31	3	subtheorems	193	26	128	6873	30
exp32	3	subtheorems	220	29	144	6975	31
exp4a	3	subtheorems	242	31	160	5213	33
exp4b	3	subtheorems	245	32	163	8649	34
exp4c	3	subtheorems	220	29	144	7077	31
exp4d	3	subtheorems	245	32	163	8751	34
exp41	3	subtheorems	196	26	129	10309	31
exp42	3	subtheorems	223	29	145	10411	31
exp43	3	subtheorems	248	32	164	12085	35
exp44	3	subtheorems	223	30	147	10513	32
